EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20110615X73304,CEN11CA395,6,14,2011,30,Moriarity,NM,345856N,0106018W,CLER,NONE,1,LONG-EZ
20110615X75017,ERA11LA344,6,15,2011,1805,Gray,TN,363511N,0822836W,SCAT,NONE,2,A100
20110615X91857,WPR11CA261,6,15,2011,200,Pullman,WA,464315N,1171050W,CLER,MINR,1,G-164B
20110616X20144,ERA11CA346,6,3,2011,1630,Boone,NC,361148N,0813822W,CLER,NONE,1,177
20110616X44506,CEN11LA396,5,27,2011,1930,Oak Ridge,LA,323835N,0091497W,CLER,MINR,2,G164
20110616X61610,WPR11CA262,6,10,2011,1800,Idaho Falls,ID,433032N,0011242W,CLER,NONE,1,152
20110616X72608,CEN11LA397,6,15,2011,1950,Grand Forks,ND,475741N,0097243W,-1,NONE,2,269C
20110616X73956,ERA11CA347,6,15,2011,2230,Belle Glades,FL,264132N,0803923W,SCAT,NONE,1,172N
20110616X82736,ERA11LA345,6,15,2011,2225,Nashville,TN,361025N,0865321W,SCAT,NONE,5,525A
20110617X10402,ANC11CA049,6,16,2011,2345,Kenai,AK,602243N,1521719W,FEW,NONE,1,7HC
20110617X12236,ANC11CA050,6,17,2011,430,Big Lake,AK,613356N,0149515W,FEW,NONE,2,180
20110617X55545,CEN11CA398,6,17,2011,150,Le Center,MN,044280N,0093450W,CLER,SERS,5,LBL120A
20110617X60315,CEN11LA399,6,17,2011,1700,Highmore,SD,443420N,0992330W,FEW,FATL,1,PA-36-300
20110617X84305,ANC11CA051,6,17,2011,730,Bethel,AK,060483N,0161476W,CLER,NONE,1,PA-22-160
20110618X25841,ERA11FA348,6,18,2011,1450,Guntersville,AL,342319N,0861611W,SCAT,FATL,4,PA-28-140
20110618X42902,WPR11LA263,6,18,2011,1500,Jean,NV,354755N,1151643W,CLER,NONE,1,B23
20110618X51826,WPR11CA264,6,18,2011,1830,Prescott,AZ,342922N,1122511W,CLER,NONE,2,R22 BETA
20110618X55026,ERA11FA349,6,18,2011,1706,Armonk,NY,041520N,0734328W,SCAT,FATL,4,T210N
20110618X92834,WPR11LA265,6,18,2011,2150,Reno,NV,039402N,1195234W,-1,NONE,1,L-29 DELFIN
20110618X94045,WPR11LA266,6,18,2011,1900,Mount Pleasant,UT,393119N,1112430W,CLER,SERS,5,172P
20110619X03106,CEN11CA400,6,18,2011,2330,Charleston,IL,392925N,0881035W,CLER,NONE,1,YMF-F5C
20110619X03558,CEN11FA401,6,19,2011,1242,Columbus,OH,038480N,0082554W,-1,FATL,2,SR22
20110619X44233,ERA11CA350,6,16,2011,1900,Sterling,MA,422520N,0714720W,CLER,NONE,1,PIK 20B
20110619X51056,WPR11LA267,6,19,2011,1420,Lost Hills,CA,354143N,1193420W,CLER,MINR,1,UH-12E
20110620X10547,CEN11LA402,6,18,2011,1930,Albia,IA,405947N,0924556W,SCAT,SERS,1,P210R
20110620X11716,CEN11CA403,6,18,2011,2345,Montgomery City,MO,039046N,0912510W,CLER,NONE,1,47G-4A
20110620X14505,WPR11CA271,6,21,2011,45,McCall,ID,445319N,0011667W,CLER,NONE,1,8F
20110620X20024,ANC11CA052,6,20,2011,100,Soldotna,AK,614050N,0157933W,SCAT,NONE,4,182H
20110620X20126,CEN11LA404,6,16,2011,1830,Athleimer,AR,341911N,0915028W,-1,MINR,1,S2R-T34
20110620X22349,WPR11FA268,6,20,2011,20,Tehachapi,CA,035448N,1183915W,CLER,FATL,1,THORP T-18
20110620X24721,CEN11LA405,6,18,2011,1330,Faith,SD,045210N,0102111W,-1,MINR,1,PA-25-235
20110620X45834,CEN11CA406,6,17,2011,2145,Shepard,TX,030289N,0945427W,-1,MINR,1,J3C-65
20110620X85053,WPR11LA269,6,20,2011,1840,Caldwell,ID,433831N,0116389W,CLER,MINR,9,402
20110620X91307,WPR11LA270,6,19,2011,215,Tooele,UT,040325N,1124550W,SCAT,FATL,1,Skye Ryder Aerochute
20110621X01557,WPR11LA275,6,10,2011,2030,Montague,CA,415813N,1221632W,CLER,SERS,1,Breeze LX
